0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,AliceBlue
0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,AntiqueWhite
0.655,0.51,0.16,1.092,0.396,0.2825,0.37,Aqua
0.545,0.425,0.125,0.768,0.294,0.1495,0.26,Aquamarine
0.545,0.42,0.13,0.879,0.374,0.1695,0.23,Azure
0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,Beige
0.47,0.36,0.13,0.472,0.182,0.114,0.15,Bisque
0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,Black
0.52,0.425,0.125,0.79,0.372,0.205,0.19,BlanchedAlmond
0.485,0.39,0.12,0.599,0.251,0.1345,0.169,Blue
0.625,0.495,0.155,1.025,0.46,0.1945,0.34,BlueViolet
0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,Brown
0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,BurlyWood
0.475,0.355,0.115,0.5195,0.279,0.088,0.1325,CadetBlue
0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,Chartreuse
0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,Chocolate
0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,Coral
0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,CornflowerBlue
0.635,0.495,0.18,1.596,0.617,0.317,0.37,Cornsilk
0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,Crimson
0.57,0.435,0.15,0.8295,0.3875,0.156,0.245,Cyan
0.725,0.575,0.24,2.21,1.351,0.413,0.5015,DarkBlue
0.435,0.35,0.11,0.384,0.143,0.1005,0.125,DarkCyan
0.685,0.55,0.2,1.7725,0.813,0.387,0.49,DarkGoldenRod
0.575,0.445,0.145,0.876,0.3795,0.1615,0.27,DarkGray
0.575,0.435,0.13,1.0105,0.368,0.222,0.32,DarkGreen
0.625,0.445,0.16,1.09,0.46,0.2965,0.304,DarkKhaki
0.355,0.27,0.075,0.1775,0.079,0.0315,0.054,DarkMagenta
0.565,0.48,0.175,0.957,0.3885,0.215,0.275,DarkOliveGreen
0.47,0.365,0.12,0.582,0.29,0.092,0.146,DarkOrange
0.41,0.325,0.105,0.3635,0.159,0.077,0.12,DarkOrchid
0.55,0.415,0.135,0.7635,0.318,0.21,0.2,DarkRed
0.575,0.435,0.14,0.8455,0.401,0.191,0.222,DarkSalmon
0.55,0.47,0.15,0.897,0.377,0.184,0.29,DarkSeaGreen
0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,DarkSlateBlue
0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,DarkSlateGray
0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,DarkTurquoise
0.63,0.525,0.195,1.3135,0.4935,0.2565,0.465,DarkViolet
0.465,0.36,0.125,0.4365,0.169,0.1075,0.145,DeepPink
0.63,0.495,0.18,1.31,0.495,0.295,0.4695,DeepSkyBlue
0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,DimGray
0.645,0.5,0.16,1.3815,0.672,0.326,0.315,DodgerBlue
0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,FireBrick
0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,FloralWhite
0.645,0.52,0.17,1.197,0.526,0.2925,0.317,ForestGreen
0.575,0.465,0.195,0.9965,0.417,0.247,0.47,Fuchsia
0.59,0.405,0.15,0.853,0.326,0.2615,0.245,Gainsboro
0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,GhostWhite
0.48,0.335,0.125,0.524,0.246,0.1095,0.145,Gold
0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,GoldenRod
0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,Gray
0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,Green
0.38,0.29,0.105,0.257,0.099,0.051,0.085,GreenYellow
0.665,0.53,0.18,1.491,0.6345,0.342,0.435,HoneyDew
0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,HotPink
0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,IndianRed
0.375,0.28,0.095,0.2225,0.0875,0.043,0.08,Indigo
0.585,0.445,0.14,0.913,0.4305,0.2205,0.253,Ivory
0.51,0.38,0.135,0.681,0.3435,0.142,0.17,Khaki
0.425,0.31,0.095,0.3075,0.139,0.0745,0.093,Lavender
0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,LavenderBlush
0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,LawnGreen
0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,LemonChiffon
0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,LightBlue
0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,LightCoral
0.615,0.495,0.155,1.0805,0.52,0.19,0.32,LightCyan
0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,LightGoldenRodYellow
0.65,0.565,0.2,1.6645,0.753,0.367,0.43,LightGray
0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,LightGreen
0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,LightPink
0.735,0.57,0.21,2.2355,1.1705,0.463,0.5315,LightSalmon
0.375,0.275,0.085,0.22,0.109,0.05,0.0605,LightSeaGreen
0.35,0.26,0.09,0.198,0.0725,0.056,0.06,LightSkyBlue
0.665,0.525,0.18,1.5785,0.678,0.229,0.456,LightSlateGray
0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,LightSteelBlue
0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,LightYellow
